"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"COMPONENTE";"H15";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"CH03";"CH04";"CH05";"CH06";"CH07";"CH08";"CH09";"CH10";"CH11";"CH12";"CH13";"CH14";"CH15";"CH15_COD";"CH16";"CH16_COD";"NIVEL_ED";"ESTADO";"CAT_OCUP";"CAT_INAC";"IMPUTA";"PP02C1";"PP02C2";"PP02C3";"PP02C4";"PP02C5";"PP02C6";"PP02C7";"PP02C8";"PP02E";"PP02H";"PP02I";"PP03C";"PP03D";"PP3E_TOT";"PP3F_TOT";"PP03G";"PP03H";"PP03I";"PP03J";"INTENSI";"PP04A";"PP04B_COD";"PP04B1";"PP04B2";"PP04B3_MES";"PP04B3_ANO";"PP04B3_DIA";"PP04C";"PP04C99";"PP04D_COD";"PP04G";"PP05B2_MES";"PP05B2_ANO";"PP05B2_DIA";"PP05C_1";"PP05C_2";"PP05C_3";"PP05E";"PP05F";"PP05H";"PP06A";"PP06C";"PP06D";"PP06E";"PP06H";"PP07A";"PP07C";"PP07D";"PP07E";"PP07F1";"PP07F2";"PP07F3";"PP07F4";"PP07F5";"PP07G1";"PP07G2";"PP07G3";"PP07G4";"PP07G_59";"PP07H";"PP07I";"PP07J";"PP07K";"PP08D1";"PP08D4";"PP08F1";"PP08F2";"PP08J1";"PP08J2";"PP08J3";"PP09A";"PP09A_ESP";"PP09B";"PP09C";"PP09C_ESP";"PP10A";"PP10C";"PP10D";"PP10E";"PP11A";"PP11B_COD";"PP11B1";"PP11B2_MES";"PP11B2_ANO";"PP11B2_DIA";"PP11C";"PP11C99";"PP11D_COD";"PP11G_ANO";"PP11G_MES";"PP11G_DIA";"PP11L";"PP11L1";"PP11M";"PP11N";"PP11O";"PP11P";"PP11Q";"PP11R";"PP11S";"PP11T";"P21";"DECOCUR";"IDECOCUR";"RDECOCUR";"GDECOCUR";"PDECOCUR";"ADECOCUR";"PONDIIO";"TOT_P12";"P47T";"DECINDR";"IDECINDR";"RDECINDR";"GDECINDR";"PDECINDR";"ADECINDR";"PONDII";"V2_M";"V3_M";"V4_M";"V5_M";"V8_M";"V9_M";"V10_M";"V11_M";"V12_M";"V18_M";"V19_AM";"V21_M";"T_VI";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH"
"TQRMNOSQRHJOKOCDEGJBF00704503";2021;2;1;2;1;43;"S";13;861;2;2;30/05/1993;27;1;4;1;2;0;3;2;"08";1;"";1;"";3;3;0;4;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"";"";"0";861;0;9000;"1";"1";"1";"1";"";"1";863;0;0;0;9000;0;0;0;0;0;0;0;0;9000;24000;"2";"2";"2";"2";"";"2";6000;"1";"1";"1";"1";"";"1";841
"TQRMNOSQRHJOKOCDEGJBF00704503";2021;2;1;3;0;43;"S";13;861;3;2;16/12/2011;9;5;4;1;1;1;3;2;"03";1;"";1;"";1;4;0;3;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"";"";"0";861;0;0;"0";"0";"0";"";"";"0";861;0;0;0;0;0;0;0;0;0;0;0;0;0;24000;"2";"2";"2";"2";"";"2";6000;"1";"1";"1";"1";"";"1";841
"TQRMNOSQRHJOKOCDEGJBF00704503";2021;2;1;4;0;43;"S";13;861;3;1;25/05/2019;1;5;4;3;0;0;0;0;"";1;"";6;"";7;4;0;5;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"";"";"0";861;0;0;"0";"0";"0";"";"";"0";861;0;0;0;0;0;0;0;0;0;0;0;0;0;24000;"2";"2";"2";"2";"";"2";6000;"1";"1";"1";"1";"";"1";841
"TQRMNOTSQHJOKOCDEGJBF00704504";2021;2;1;3;1;43;"S";13;826;3;1;01/01/1900;50;5;4;2;2;0;2;2;"00";1;"";1;"";1;3;0;6;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"";"";"0";826;0;0;"0";"0";"0";"";"";"0";826;0;0;0;0;0;0;0;0;0;0;0;0;0;39800;"3";"3";"3";"3";"";"4";13266,67;"3";"3";"3";"3";"";"3";847
"TQRMNOTSQHJOKOCDEGJBF00704504";2021;2;1;1;1;43;"S";13;826;1;1;04/07/1944;76;1;1;2;3;0;0;0;"";2;"";1;"";7;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"";"";"0";826;0;19900;"3";"3";"3";"3";"";"3";829;19900;0;0;0;0;0;0;0;0;0;0;0;19900;39800;"3";"3";"3";"3";"";"4";13266,67;"3";"3";"3";"3";"";"3";847
"TQRMNOTSQHJOKOCDEGJBF00704504";2021;2;1;2;1;43;"S";13;826;2;2;17/06/1934;86;1;1;2;2;0;2;2;"00";2;"";1;"";1;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"";"";"0";826;0;19900;"3";"3";"3";"3";"";"3";816;19900;0;0;0;0;0;0;0;0;0;0;0;19900;39800;"3";"3";"3";"3";"";"4";13266,67;"3";"3";"3";"3";"";"3";847
"TQRMNOSWTHKMKRCDEHIBB00654689";2021;2;1;2;1;40;"N";22;143;2;2;11/01/1952;69;2;1;1;2;0;4;2;"01";2;"";1;"";3;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"0";"0";"0";143;0;11000;"2";"2";"2";"0";"2";"2";144;11000;0;0;0;0;0;0;0;0;0;0;0;11000;116000;"9";"9";"9";"0";"9";"9";12888,89;"3";"3";"4";"0";"3";"4";149
"TQRMNOSWTHKMKRCDEHIBB00654689";2021;2;1;3;1;40;"N";22;143;3;2;22/12/1988;32;5;4;1;2;0;6;2;"02";1;"";1;"";5;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;2;3;10;20;2;0;2;2;2;2;9700;1;1;2;0;0;0;0;"55314";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;5;2;2;2;2;5;2;2;1;4;6000;0;0;0;0;0;0;0;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;6000;"1";"1";"1";"0";"1";"1";144;12000;18000;"2";"3";"3";"0";"3";"3";147;0;0;0;0;0;0;0;0;0;0;0;0;0;116000;"9";"9";"9";"0";"9";"9";12888,89;"3";"3";"4";"0";"3";"4";149
"TQRMNOSWTHKMKRCDEHIBB00654689";2021;2;1;4;1;40;"N";22;143;3;2;27/05/1992;29;5;4;1;2;0;6;2;"02";1;"";1;"";5;3;0;7;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"0";"0";"0";143;0;9000;"1";"1";"1";"0";"1";"1";146;0;0;0;9000;0;0;0;0;0;0;0;0;9000;116000;"9";"9";"9";"0";"9";"9";12888,89;"3";"3";"4";"0";"3";"4";149
"TQRMNOSWTHKMKRCDEHIBB00654689";2021;2;1;5;0;40;"N";22;143;5;1;12/03/2015;6;5;4;2;1;1;2;2;"00";1;"";1;"";1;4;0;3;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"0";"0";"0";143;0;0;"0";"0";"0";"0";"0";"0";143;0;0;0;0;0;0;0;0;0;0;0;0;0;116000;"9";"9";"9";"0";"9";"9";12888,89;"3";"3";"4";"0";"3";"4";149
"TQRMNOSWTHKMKRCDEHIBB00654689";2021;2;1;6;1;40;"N";22;143;3;2;05/12/1987;33;1;4;1;2;0;4;1;"";1;"";1;"";4;1;2;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;20;0;2;0;2;1;2;2;1009;2;0;0;0;0;1;0;"80113";9;0;0;0;1;3;3;1;7;6;2;8000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;8000;"1";"1";"1";"0";"1";"1";150;0;8000;"1";"1";"1";"0";"1";"1";151;0;0;0;0;0;0;0;0;0;0;0;0;0;116000;"9";"9";"9";"0";"9";"9";12888,89;"3";"3";"4";"0";"3";"4";149
"TQRMNOSWTHKMKRCDEHIBB00654689";2021;2;1;7;1;40;"N";22;143;4;1;01/11/1984;36;1;1;1;2;0;4;1;"";1;"";1;"";4;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;56;0;2;0;2;2;3;1;8401;2;0;0;0;0;10;0;"48313";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;2;2;2;5;1;1;1;1;0;1;0;1;1;40000;0;0;0;0;0;0;0;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;40000;"6";"7";"8";"0";"6";"8";152;0;40000;"7";"7";"8";"0";"7";"8";147;0;0;0;0;0;0;0;0;0;0;0;0;0;116000;"9";"9";"9";"0";"9";"9";12888,89;"3";"3";"4";"0";"3";"4";149
"TQRMNOSWTHKMKRCDEHIBB00654689";2021;2;1;8;0;40;"N";22;143;5;2;13/09/2011;9;5;1;1;1;1;2;2;"03";1;"";1;"";1;4;0;3;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"0";"0";"0";143;0;0;"0";"0";"0";"0";"0";"0";143;0;0;0;0;0;0;0;0;0;0;0;0;0;116000;"9";"9";"9";"0";"9";"9";12888,89;"3";"3";"4";"0";"3";"4";149
"TQRMNOSWTHKMKRCDEHIBB00654689";2021;2;1;9;0;40;"N";22;143;5;2;01/11/2013;7;5;1;1;1;1;2;2;"01";1;"";1;"";1;4;0;3;;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"0";"0";"0";"0";"0";143;0;0;"0";"0";"0";"0";"0";"0";143;0;0;0;0;0;0;0;0;0;0;0;0;0;116000;"9";"9";"9";"0";"9";"9";12888,89;"3";"3";"4";"0";"3";"4";149
"TQRMNOSWVHKMKRCDEHIBB00654678";2021;2;1;1;1;40;"N";22;139;1;1;26/11/1963;57;2;1;1;2;0;4;1;"";1;"";1;"";4;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;40;0;2;0;2;2;2;3;6500;2;0;0;0;0;12;0;"20333";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;2;2;2;5;1;1;1;1;0;1;0;1;1;40000;0;0;0;0;0;0;0;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;40000;"6";"7";"8";"0";"7";"8";141;0;40000;"6";"7";"8";"0";"7";"8";143;0;0;0;0;0;0;0;0;0;0;0;0;0;52000;"5";"5";"6";"0";"5";"6";17333,33;"4";"4";"6";"0";"4";"6";145
